Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Chris Jones,WR,Alabama,5-10,182.0,4.63,32.5,8.0,119.0,6.91,4.19,2015,70.0,0
Dez Lewis,WR,Central Arkansas,6-4,214.0,4.58,33.5,16.0,119.0,7.11,4.28,2015,76.0,1
Tony Lippett,WR,Michigan State,6-2,192.0,4.61,36.0,10.0,114.0,6.92,4.13,2015,74.0,0
Deon Long,WR,Maryland,6-0,192.0,4.51,34.0,12.0,120.0,6.98,4.27,2015,72.0,0
Donatella Luckett,WR,Harding,6-0,211.0,4.4,34.0,17.0,118.0,7.51,4.5,2015,72.0,1
Terrence Magee,RB,LSU,5-8,213.0,4.62,37.0,22.0,115.0,7.52,4.37,2015,68.0,1
Craig Mager,CB,Texas State,5-11,201.0,4.44,38.0,17.0,130.0,6.83,4.07,2015,71.0,0
Dean Marlowe,S,James Madison,6-1,203.0,4.58,33.5,16.0,114.0,7.0,4.18,2015,73.0,0
Nick Marshall,CB,Auburn,6-1,207.0,4.54,37.5,12.0,124.0,6.96,4.15,2015,73.0,0
Tre McBride,WR,William & Mary,6-0,210.0,4.41,38.0,16.0,122.0,6.96,4.08,2015,72.0,0
Bobby McCain,CB,Memphis,5-9,195.0,4.51,36.0,17.0,130.0,6.8,3.82,2015,69.0,0
Tevin McDonald,S,East. Washington,5-11,195.0,4.63,33.0,19.0,112.0,7.01,4.26,2015,71.0,0
Steven Nelson,CB,Oregon State,5-10,197.0,4.49,34.5,19.0,115.0,6.88,4.07,2015,70.0,0
Nick O'Leary,TE,Florida State,6-3,252.0,4.93,30.5,21.0,110.0,7.4,4.5,2015,75.0,1
Garry Peters,CB,Clemson,6-0,191.0,4.61,32.5,7.0,119.0,6.8,4.0,2015,72.0,0
Marcus Peters,CB,Washington,6-0,197.0,4.53,37.5,17.0,121.0,7.08,4.08,2015,72.0,0
Cody Prewitt,S,Mississippi,6-2,208.0,4.6,35.0,11.0,125.0,7.12,4.23,2015,74.0,0
MyCole Pruitt,TE,Southern Illinois,6-2,251.0,4.58,38.0,17.0,118.0,7.25,4.37,2015,74.0,1
Damarious Randall,S,Arizona State,5-11,196.0,4.46,38.0,14.0,120.0,6.83,4.07,2015,71.0,0
Jordan Richards,S,Stanford,5-11,211.0,4.65,32.0,13.0,111.0,6.74,4.22,2015,71.0,0
Quinten Rollins,CB,Miami (OH),5-11,195.0,4.57,36.5,14.0,122.0,7.1,4.28,2015,71.0,0
Eric Rowe,CB,Utah,6-1,205.0,4.45,39.0,19.0,125.0,6.7,3.97,2015,73.0,0
Ezell Ruffin,WR,San Diego State,6-0,218.0,4.68,27.5,17.0,110.0,7.35,4.58,2015,72.0,1
Ross Scheuerman,WR,Lafayette,6-0,204.0,4.62,33.0,15.0,121.0,7.08,4.11,2015,72.0,0
Josh Shaw,CB,USC,6-0,201.0,4.44,37.5,26.0,130.0,7.01,4.12,2015,72.0,0
D'Joun Smith,CB,Florida Atlantic,5-10,187.0,4.37,36.0,18.0,124.0,6.96,4.26,2015,70.0,0
Tye Smith,CB,Towson,6-0,195.0,4.6,36.5,15.0,124.0,6.97,3.96,2015,72.0,0
Eric Tomlinson,TE,Texas-El Paso,6-6,263.0,4.98,30.5,19.0,110.0,7.46,4.54,2015,78.0,1
Clive Walford,TE,Miami (FL),6-4,251.0,4.79,35.0,20.0,120.0,7.32,4.57,2015,76.0,1
Darren Waller,WR,Georgia Tech,6-6,238.0,4.46,37.0,12.0,125.0,7.07,4.25,2015,78.0,0
Trae Waynes,CB,Michigan State,6-0,186.0,4.31,38.0,19.0,122.0,7.06,4.39,2015,72.0,0
Kevin White,WR,West Virginia,6-3,215.0,4.35,36.5,23.0,123.0,6.92,4.14,2015,75.0,0
Jermaine Whitehead,S,Auburn,5-11,197.0,4.59,37.0,15.0,128.0,6.95,4.11,2015,71.0,0
Karlos Williams,RB,Florida State,6-1,230.0,4.48,33.5,16.0,117.0,7.16,4.46,2015,73.0,1
Maxx Williams,TE,Minnesota,6-4,249.0,4.78,34.5,17.0,117.0,7.3,4.37,2015,76.0,1
P.J. Williams,CB,Florida State,6-0,194.0,4.57,40.0,12.0,132.0,7.08,4.28,2015,72.0,0
Trey Williams,RB,Texas A&M,5-7,195.0,4.49,33.5,18.0,119.0,6.84,4.12,2015,67.0,0
T.J. Yeldon,RB,Alabama,6-1,226.0,4.61,36.0,22.0,117.0,7.19,4.22,2015,73.0,1
Bralon Addison,WR,Oregon,5-9,197.0,4.66,34.5,13.0,116.0,6.95,4.14,2016,69.0,0
Peyton Barber,RB,Auburn,5-10,228.0,4.64,32.5,20.0,111.0,7.0,4.21,2016,70.0,1
Briean Boddy-Calhoun,CB,Minnesota,5-9,193.0,4.47,35.0,10.0,123.0,7.16,4.22,2016,69.0,0
Tyler Boyd,WR,Pittsburgh,6-1,197.0,4.58,34.0,11.0,119.0,6.9,4.35,2016,73.0,0
James Bradberry,CB,Samford,6-1,211.0,4.5,36.0,16.0,124.0,6.91,4.21,2016,73.0,0
Ben Braunecker,TE,Harvard,6-3,250.0,4.73,35.5,20.0,121.0,6.9,4.2,2016,75.0,1
Anthony Brown,CB,Purdue,5-11,192.0,4.33,35.0,19.0,115.0,7.03,4.19,2016,71.0,0
Lamarcus Brutus,S,Florida State,6-0,206.0,4.76,33.0,14.0,114.0,7.08,4.33,2016,72.0,1
Aaron Burbridge,WR,Michigan State,6-0,206.0,4.56,30.5,20.0,115.0,7.22,4.31,2016,72.0,1
Juston Burris,CB,North Carolina State,6-0,212.0,4.53,36.5,19.0,122.0,7.1,4.4,2016,72.0,0
Devon Cajuste,WR,Stanford,6-4,234.0,4.62,36.0,12.0,123.0,6.49,4.2,2016,76.0,0
Maurice Canady,CB,Virginia,6-1,193.0,4.49,38.0,16.0,124.0,7.03,4.09,2016,73.0,0
Marshaun Coprich,RB,Illinois State,5-8,207.0,4.47,34.0,17.0,112.0,7.26,4.58,2016,68.0,0
Sean Davis,CB,Maryland,6-1,201.0,4.46,37.5,21.0,126.0,6.64,3.97,2016,73.0,0
Trevor Davis,WR,California,6-1,188.0,4.42,38.5,11.0,124.0,6.6,4.22,2016,73.0,0
Kenneth Dixon,RB,Louisiana Tech,5-10,215.0,4.56,37.5,18.0,121.0,6.97,4.28,2016,70.0,0
Josh Doctson,WR,TCU,6-2,202.0,4.5,41.0,14.0,131.0,6.84,4.08,2016,74.0,0
Kenyan Drake,RB,Alabama,6-1,210.0,4.45,34.5,10.0,123.0,7.04,4.21,2016,73.0,0
Thomas Duarte,TE,UCLA,6-2,231.0,4.72,33.5,12.0,118.0,6.97,4.24,2016,74.0,1
D.J. Foster,WR,Arizona State,5-10,193.0,4.57,35.5,14.0,117.0,6.75,4.07,2016,70.0,0
Will Fuller,WR,Notre Dame,6-0,186.0,4.32,33.5,10.0,126.0,6.93,4.27,2016,72.0,0
Keyarris Garrett,WR,Tulsa,6-3,220.0,4.53,36.5,14.0,128.0,7.3,4.33,2016,75.0,0
Temarrick Hemingway,TE,South Carolina State,6-5,244.0,4.71,30.5,18.0,115.0,6.88,4.31,2016,77.0,1
Derrick Henry,RB,Alabama,6-3,247.0,4.54,37.0,22.0,130.0,7.2,4.38,2016,75.0,1
Austin Hooper,TE,Stanford,6-4,254.0,4.72,33.0,19.0,117.0,7.0,4.32,2016,76.0,1
Deandre Houston-Carson,S,William & Mary,6-1,201.0,4.54,32.5,13.0,115.0,7.15,4.28,2016,73.0,0
Xavien Howard,CB,Baylor,6-0,201.0,4.58,33.0,11.0,122.0,7.18,4.15,2016,72.0,0
Cyrus Jones,CB,Alabama,5-10,197.0,4.49,33.0,10.0,116.0,6.71,4.21,2016,70.0,0
Jonathan Jones,CB,Auburn,5-9,186.0,4.33,36.0,19.0,123.0,7.25,4.25,2016,69.0,0
Miles Killebrew,S,Southern Utah,6-2,217.0,4.65,38.0,22.0,127.0,6.93,4.18,2016,74.0,0
Daniel Lasco,RB,California,6-0,209.0,4.46,41.5,23.0,135.0,7.22,4.26,2016,72.0,0
Jordan Lomax,S,Iowa,5-10,202.0,4.75,36.0,8.0,120.0,7.18,4.15,2016,70.0,0
Ryan Malleck,TE,Virginia Tech,6-4,247.0,4.77,34.5,18.0,121.0,7.0,4.33,2016,76.0,1
Jalin Marshall,WR,Ohio State,5-10,200.0,4.6,37.5,16.0,125.0,6.8,4.13,2016,70.0,0
Mekale McKay,WR,Cincinnati,6-4,207.0,4.55,35.0,12.0,123.0,7.08,4.63,2016,76.0,1
Braxton Miller,WR,Ohio State,6-1,201.0,4.5,35.0,17.0,123.0,6.65,4.07,2016,73.0,0
Harlan Miller,CB,SE Louisiana,6-0,182.0,4.65,35.5,6.0,118.0,7.44,4.43,2016,72.0,0
Jalen Mills,S,LSU,6-0,191.0,4.61,37.0,16.0,123.0,6.86,4.0,2016,72.0,0
Malcolm Mitchell,WR,Georgia,6-0,198.0,4.45,36.0,15.0,129.0,6.94,4.34,2016,72.0,0
Chris Moore,WR,Cincinnati,6-1,206.0,4.53,37.0,10.0,130.0,6.76,4.2,2016,73.0,0
Eric Murray,CB,Minnesota,5-11,199.0,4.49,39.5,15.0,124.0,7.08,4.05,2016,71.0,0
Keanu Neal,S,Florida,6-0,211.0,4.62,38.0,17.0,132.0,7.09,4.38,2016,72.0,0
Marquez North,WR,Tennessee,6-2,223.0,4.48,35.0,17.0,123.0,6.9,4.13,2016,74.0,0
Charone Peake,WR,Clemson,6-2,209.0,4.45,35.5,12.0,122.0,6.96,4.46,2016,74.0,0
Kevin Peterson,CB,Oklahoma State,5-10,181.0,4.58,35.5,14.0,121.0,6.94,4.31,2016,70.0,0
Tyvis Powell,S,Ohio State,6-3,211.0,4.46,34.5,15.0,120.0,7.03,4.25,2016,75.0,0
Jalen Ramsey,CB,Florida State,6-1,209.0,4.41,41.5,14.0,135.0,6.94,4.18,2016,73.0,0
Alonzo Russell,WR,Toledo,6-4,206.0,4.54,29.5,12.0,112.0,7.18,4.33,2016,76.0,1
Beau Sandland,TE,Montana State,6-4,253.0,4.74,35.0,23.0,124.0,7.1,4.33,2016,76.0,1
Hunter Sharp,WR,Utah State,5-11,198.0,4.58,32.5,12.0,116.0,7.12,4.19,2016,71.0,0
Sterling Shepard,WR,Oklahoma,5-10,194.0,4.48,41.0,20.0,123.0,7.0,4.35,2016,70.0,0
Justin Simmons,S,Boston Col.,6-2,202.0,4.61,40.0,16.0,126.0,6.58,3.85,2016,74.0,0
Leshaun Sims,CB,Southern Utah,6-0,203.0,4.53,37.0,11.0,120.0,7.08,4.19,2016,72.0,0
Wendell Smallwood,RB,West Virginia,5-10,208.0,4.47,33.5,14.0,120.0,6.83,4.28,2016,70.0,0
Ryan Smith,CB,North Carolina Central,5-11,189.0,4.47,36.0,18.0,122.0,6.88,4.09,2016,71.0,0
Nelson Spruce,WR,Colorado,6-1,206.0,4.69,35.0,12.0,114.0,7.09,4.2,2016,73.0,0
A.J. Stamps,S,Kentucky,5-11,193.0,4.79,33.0,15.0,115.0,7.17,4.25,2016,71.0,0
Michael Thomas,WR,Ohio State,6-3,212.0,4.57,35.0,18.0,126.0,6.8,4.13,2016,75.0,0
Darian Thompson,S,Boise State,6-2,208.0,4.69,32.5,12.0,118.0,7.26,4.33,2016,74.0,1
Shadrach Thornton,RB,North Carolina State,6-0,217.0,4.75,31.0,12.0,116.0,6.85,4.21,2016,72.0,0
Nick Vannett,TE,Ohio State,6-6,257.0,4.76,30.5,17.0,111.0,7.05,4.2,2016,78.0,1
Deandre Washington,RB,Texas Tech,5-8,204.0,4.49,34.5,24.0,116.0,7.03,4.2,2016,68.0,0
D.J. White,CB,Georgia Tech,5-11,193.0,4.49,33.0,17.0,132.0,7.18,4.33,2016,71.0,0
Brandon Wilds,RB,South Carolina,6-1,220.0,4.54,36.5,21.0,118.0,7.08,4.33,2016,73.0,0
Brandon Williams,CB,Texas A&M,5-11,197.0,4.37,30.5,18.0,118.0,6.85,4.19,2016,71.0,0
Bryce Williams,TE,East Carolina,6-6,257.0,4.94,29.5,19.0,111.0,7.19,4.53,2016,78.0,1
Duke Williams,WR,Auburn,6-2,229.0,4.72,30.0,14.0,121.0,7.43,4.47,2016,74.0,1
Daryl Worley,CB,West Virginia,6-1,204.0,4.64,35.5,14.0,123.0,6.98,4.15,2016,73.0,0
Tavon Young,CB,Temple,5-9,183.0,4.46,34.5,9.0,118.0,6.8,3.93,2016,69.0,0
Jamal Adams,S,LSU,6-0,214.0,4.56,31.5,18.0,120.0,6.96,4.13,2017,72.0,0
Rodney Adams,WR,South Florida,6-1,189.0,4.44,29.5,8.0,125.0,6.98,4.28,2017,73.0,0
Quincy Adeboyejo,WR,Mississippi,6-3,197.0,4.42,34.5,8.0,123.0,6.73,4.14,2017,75.0,0
Brian Allen,CB,Utah,6-3,215.0,4.48,34.5,15.0,117.0,6.64,4.34,2017,75.0,0
Chidobe Awuzie,CB,Colorado,6-0,202.0,4.43,34.5,16.0,132.0,6.81,4.14,2017,72.0,0
Budda Baker,S,Washington,5-10,195.0,4.45,32.5,15.0,115.0,6.76,4.08,2017,70.0,0
Kendrick Bourne,WR,East. Washington,6-1,203.0,4.68,34.0,9.0,125.0,6.73,4.21,2017,73.0,0
Jehu Chesson,WR,Michigan,6-3,204.0,4.47,35.5,10.0,132.0,6.7,4.09,2017,75.0,0
Chuck Clark,S,Virginia Tech,6-0,208.0,4.54,34.0,16.0,122.0,6.85,4.07,2017,72.0,0
Gareon Conley,CB,Ohio State,6-0,195.0,4.44,37.0,11.0,129.0,6.68,4.18,2017,72.0,0
Dalvin Cook,RB,Florida State,5-10,210.0,4.49,30.5,22.0,116.0,7.27,4.53,2017,70.0,1
Darrell Daniels,TE,Washington,6-3,247.0,4.55,32.0,17.0,116.0,7.09,4.47,2017,75.0,1
Robert Davis,WR,Georgia State,6-3,219.0,4.44,41.0,19.0,136.0,6.82,4.28,2017,75.0,0
Rasul Douglas,CB,West Virginia,6-2,209.0,4.59,33.5,16.0,120.0,6.97,4.26,2017,74.0,0
Malachi Dupre,WR,LSU,6-2,196.0,4.52,39.5,11.0,135.0,7.19,4.26,2017,74.0,0
Evan Engram,TE,Mississippi,6-3,234.0,4.42,36.0,19.0,125.0,6.92,4.23,2017,75.0,0
Amba Etta-Tawo,WR,Syracuse,6-1,208.0,4.49,31.0,14.0,126.0,6.95,4.32,2017,73.0,0
Gerald Everett,TE,South Alabama,6-3,239.0,4.62,37.5,22.0,126.0,6.99,4.33,2017,75.0,1
Isaiah Ford,WR,Virginia Tech,6-1,194.0,4.61,35.5,14.0,127.0,6.94,4.34,2017,73.0,0
Wayne Gallman,RB,Clemson,6-0,215.0,4.6,29.5,21.0,120.0,7.17,4.28,2017,72.0,1
Shelton Gibson,WR,West Virginia,5-11,191.0,4.5,32.0,8.0,118.0,6.83,4.2,2017,71.0,0
Chris Godwin,WR,Penn State,6-1,209.0,4.42,36.0,19.0,126.0,7.01,4.0,2017,73.0,0
Kenny Golladay,WR,Northern Illinois,6-4,218.0,4.5,35.5,18.0,120.0,7.0,4.15,2017,76.0,0
Shaquill Griffin,CB,Central Florida,6-0,194.0,4.38,38.5,17.0,132.0,6.87,4.14,2017,72.0,0
Chad Hansen,WR,California,6-2,202.0,4.53,35.0,11.0,119.0,6.74,4.13,2017,74.0,0
Carlos Henderson,WR,Louisiana Tech,5-11,199.0,4.46,36.0,13.0,131.0,7.18,4.35,2017,71.0,0
Brian Hill,RB,Wyoming,6-1,219.0,4.54,34.0,15.0,125.0,7.03,4.32,2017,73.0,0
Delano Hill,S,Michigan,6-1,216.0,4.47,33.5,17.0,115.0,6.96,4.27,2017,73.0,0
O.J. Howard,TE,Alabama,6-6,251.0,4.51,30.0,22.0,121.0,6.85,4.16,2017,78.0,1
Jadar Johnson,S,Clemson,6-0,206.0,4.6,33.0,19.0,119.0,6.9,4.2,2017,72.0,0
John Johnson,S,Troy,6-1,205.0,4.61,37.0,14.0,119.0,6.72,4.18,2017,73.0,0
Aaron Jones,RB,Texas-El Paso,5-9,208.0,4.56,37.5,16.0,127.0,6.82,4.2,2017,69.0,0
Zay Jones,WR,East Carolina,6-2,201.0,4.45,36.5,15.0,133.0,6.79,4.01,2017,74.0,0
Victor Bolden Jr.,WR,Oregon State,5-8,178.0,4.54,32.0,9.0,117.0,6.83,4.22,2017,68.0,0
Jerome Lane,WR,Akron,6-2,226.0,4.6,35.0,16.0,125.0,6.87,4.12,2017,74.0,0
Shalom Luani,S,Washington State,5-11,202.0,4.55,31.0,12.0,116.0,6.87,4.21,2017,71.0,0
Keevan Lucas,WR,Tulsa,5-9,192.0,4.55,32.5,11.0,119.0,7.23,4.43,2017,69.0,0
Josh Malone,WR,Tennessee,6-3,208.0,4.4,30.5,10.0,121.0,7.05,4.19,2017,75.0,0
Gabe Marks,WR,Washington State,5-11,189.0,4.56,29.5,11.0,117.0,7.01,4.2,2017,71.0,0
Christian McCaffrey,RB,Stanford,5-11,202.0,4.48,37.5,10.0,121.0,6.57,4.22,2017,71.0,0
Elijah McGuire,RB,Louisiana,5-10,214.0,4.53,36.0,15.0,120.0,7.26,4.56,2017,70.0,0
Isaiah McKenzie,WR,Georgia,5-7,173.0,4.42,36.0,11.0,123.0,6.64,4.15,2017,67.0,0
Drew Morgan,WR,Arkansas,6-0,190.0,4.74,30.0,10.0,112.0,6.85,4.12,2017,72.0,0
Jalen Myrick,CB,Minnesota,5-10,200.0,4.28,37.5,13.0,124.0,7.06,4.22,2017,70.0,0
David Njoku,TE,Miami (FL),6-4,246.0,4.64,37.5,21.0,133.0,6.97,4.34,2017,76.0,0
Dare Ogunbowale,RB,Wisconsin,5-11,213.0,4.65,35.0,14.0,120.0,6.99,4.34,2017,71.0,0
Scott Orndoff,TE,Pittsburgh,6-5,253.0,4.84,27.0,17.0,112.0,7.37,4.45,2017,77.0,1
Zach Pascal,WR,Old Dominion,6-2,219.0,4.55,36.0,14.0,126.0,7.11,4.29,2017,74.0,0
Samaje Perine,RB,Oklahoma,5-11,233.0,4.65,33.0,30.0,116.0,7.26,4.37,2017,71.0,1
Hayden Plinke,TE,Texas-El Paso,6-4,264.0,4.97,28.0,18.0,109.0,7.55,4.59,2017,76.0,1
James Quick,WR,Louisville,6-0,186.0,4.6,31.0,11.0,115.0,7.0,4.39,2017,72.0,0
Devine Redding,RB,Indiana,5-8,205.0,4.76,30.5,16.0,116.0,7.18,4.46,2017,68.0,1
Jalen Robinette,WR,Air Force,6-3,220.0,4.62,31.5,13.0,120.0,6.77,4.46,2017,75.0,1
Fred Ross,WR,Mississippi State,6-1,213.0,4.51,35.0,10.0,113.0,6.99,4.28,2017,73.0,0
Travis Rudolph,WR,Florida State,6-0,189.0,4.65,31.5,12.0,114.0,6.93,4.46,2017,72.0,0
Curtis Samuel,WR,Ohio State,5-11,196.0,4.31,37.0,18.0,119.0,7.09,4.33,2017,71.0,0
Artavis Scott,WR,Clemson,5-10,193.0,4.61,31.0,13.0,116.0,7.19,4.49,2017,70.0,0
Ricky Seals-Jones,WR,Texas A&M,6-5,243.0,4.69,28.0,17.0,121.0,7.46,4.33,2017,77.0,1
Adam Shaheen,TE,Ashland,6-6,278.0,4.79,32.5,24.0,121.0,7.09,4.38,2017,78.0,1
Sojourn Shelton,CB,Wisconsin,5-9,177.0,4.51,35.0,10.0,120.0,6.92,4.02,2017,69.0,0
Channing Stribling,CB,Michigan,6-1,188.0,4.6,31.5,5.0,114.0,6.94,4.56,2017,73.0,0
Ryan Switzer,WR,North Carolina,5-8,181.0,4.51,32.0,11.0,116.0,6.77,4.0,2017,68.0,0
Cordrea Tankersley,CB,Clemson,6-1,199.0,4.4,29.5,13.0,121.0,7.0,4.32,2017,73.0,0
Taywan Taylor,WR,Western Kentucky,5-11,203.0,4.5,33.5,13.0,132.0,6.57,4.21,2017,71.0,0
Trent Taylor,WR,Louisiana Tech,5-8,181.0,4.63,33.0,13.0,117.0,6.74,4.01,2017,68.0,0
Tedric Thompson,S,Colorado,6-0,204.0,4.6,32.5,17.0,117.0,7.11,4.36,2017,72.0,0
TreDavious White,CB,LSU,5-11,192.0,4.47,32.0,16.0,119.0,6.9,4.32,2017,71.0,0
Kermit Whitfield,WR,Florida State,5-8,185.0,4.44,32.5,8.0,120.0,7.17,4.37,2017,68.0,0
Joe Williams,RB,Utah,5-11,210.0,4.41,35.0,14.0,125.0,7.19,4.19,2017,71.0,0
Marcus Williams,S,Utah,6-1,202.0,4.56,43.5,14.0,129.0,6.85,4.2,2017,73.0,0
Stanley Williams,RB,Kentucky,5-7,190.0,4.51,36.0,18.0,121.0,6.86,4.18,2017,67.0,0
Quincy Wilson,CB,Florida,6-1,211.0,4.54,32.0,14.0,118.0,6.86,4.02,2017,73.0,0
Xavier Woods,S,Louisiana Tech,5-11,197.0,4.54,33.5,19.0,122.0,6.72,4.13,2017,71.0,0
Jaire Alexander,CB,Louisville,5-11,192.0,4.38,35.0,14.0,127.0,6.71,3.98,2018,71.0,0
Mark Andrews,TE,Oklahoma,6-5,256.0,4.67,31.0,17.0,113.0,7.34,4.38,2018,77.0,1
Troy Apke,S,Penn State,6-2,198.0,4.34,41.0,16.0,131.0,6.56,4.03,2018,74.0,0
Marcell Ateman,WR,Oklahoma State,6-4,216.0,4.62,34.0,13.0,121.0,7.07,4.25,2018,76.0,0
Anthony Averett,CB,Alabama,6-0,185.0,4.36,31.5,13.0,119.0,6.93,4.4,2018,72.0,0
Kalen Ballage,RB,Arizona State,6-1,228.0,4.46,33.5,15.0,122.0,6.91,4.35,2018,73.0,0
Kurt Benkert,QB,Virginia,6-3,218.0,4.95,31.0,16.0,112.0,7.15,4.33,2018,75.0,1
Tony Brown,CB,Alabama,6-0,198.0,4.35,31.5,14.0,126.0,6.78,4.11,2018,72.0,0
Deon Cain,WR,Clemson,6-2,202.0,4.43,33.5,11.0,115.0,6.71,4.37,2018,74.0,0
Dylan Cantrell,WR,Texas Tech,6-3,226.0,4.59,38.5,18.0,130.0,6.56,4.03,2018,75.0,0
Andre Chachere,CB,San Jose State,6-0,200.0,4.49,38.0,13.0,123.0,6.78,4.07,2018,72.0,0
Nick Chubb,RB,Georgia,5-11,227.0,4.52,38.5,29.0,128.0,7.09,4.25,2018,71.0,0
Simmie Cobbs,WR,Indiana,6-3,220.0,4.64,30.0,11.0,113.0,6.7,4.32,2018,75.0,1
Tyler Conklin,TE,Central Michigan,6-3,254.0,4.8,38.0,18.0,120.0,7.13,4.23,2018,75.0,1
Keke Coutee,WR,Texas Tech,5-10,181.0,4.43,34.5,14.0,113.0,6.93,4.15,2018,70.0,0
Dane Cruikshank,S,Arizona,6-1,206.0,4.41,38.5,25.0,121.0,6.89,4.24,2018,73.0,0
Dee Delaney,CB,Miami (FL),6-1,194.0,4.46,32.5,13.0,120.0,6.95,4.25,2018,73.0,0
Will Dissly,TE,Washington,6-4,262.0,4.87,28.0,15.0,111.0,7.07,4.4,2018,76.0,1
Chase Edmonds,RB,Fordham,5-9,205.0,4.55,34.0,19.0,122.0,6.79,4.07,2018,69.0,0
Donnie Ernsberger,RB,Western Michigan,6-3,241.0,4.78,31.0,15.0,114.0,7.09,4.34,2018,75.0,1
Dimitri Flowers,RB,Oklahoma,6-2,248.0,4.83,30.5,17.0,109.0,7.45,4.53,2018,74.0,1
Jarvion Franklin,RB,West. Michigan,5-11,239.0,4.63,30.0,18.0,109.0,6.93,4.31,2018,71.0,1
Royce Freeman,RB,Oregon,5-11,229.0,4.54,34.0,17.0,118.0,6.9,4.16,2018,71.0,0
Michael Gallup,WR,Colorado State,6-1,205.0,4.51,36.0,10.0,122.0,6.95,4.37,2018,73.0,0
Rashaan Gaulden,CB,Tennessee,6-1,193.0,4.61,30.0,8.0,119.0,7.16,4.33,2018,73.0,0
Mike Gesicki,TE,Penn State,6-5,247.0,4.54,41.5,22.0,129.0,6.76,4.1,2018,77.0,0
Grant Haley,CB,Penn State,5-9,190.0,4.44,34.0,15.0,119.0,6.51,3.94,2018,69.0,0
Davontae Harris,CB,Illinois State,6-0,200.0,4.43,32.5,22.0,123.0,6.96,4.4,2018,72.0,0
Quadree Henderson,WR,Pittsburgh,5-8,192.0,4.5,32.5,12.0,120.0,6.89,4.28,2018,68.0,0
Holton Hill,CB,Texas,6-3,200.0,4.49,31.0,14.0,120.0,6.83,4.15,2018,75.0,0
Mike Hughes,CB,Central Florida,5-11,191.0,4.53,35.5,20.0,127.0,6.7,4.13,2018,71.0,0
Godwin Igwebuike,S,Northwestern,6-0,205.0,4.44,35.5,19.0,128.0,6.56,4.12,2018,72.0,0
Joel Iyiegbuniwe,LB,Western Kentucky,6-1,229.0,4.6,35.0,19.0,117.0,7.06,4.28,2018,73.0,1
Ryan Izzo,TE,Florida State,6-5,256.0,4.94,33.0,18.0,110.0,7.15,4.43,2018,77.0,1
Josh Jackson,CB,Iowa,6-1,192.0,4.56,38.0,18.0,123.0,6.86,4.03,2018,73.0,0
Justin Jackson,RB,Northwestern,6-0,199.0,4.52,38.5,13.0,122.0,6.81,4.07,2018,72.0,0
Richie James,WR,Middle Tennessee State,5-10,183.0,4.48,35.5,6.0,122.0,6.87,4.16,2018,70.0,0
Taron Johnson,CB,Weber State,6-0,180.0,4.5,33.0,17.0,118.0,7.03,4.28,2018,72.0,0
Kameron Kelly,S,San Diego State,6-2,200.0,4.66,33.0,9.0,120.0,6.94,4.28,2018,74.0,0
Christian Kirk,WR,Texas A&M,5-10,201.0,4.47,35.5,20.0,115.0,7.09,4.45,2018,70.0,0
Avonte Maddox,CB,Pittsburgh,5-9,180.0,4.39,37.0,13.0,125.0,6.51,4.0,2018,69.0,0
Steven Mitchell,WR,USC,5-10,189.0,4.56,32.5,13.0,121.0,6.75,4.4,2018,70.0,0
Jmon Moore,WR,Missouri,6-3,207.0,4.6,38.0,21.0,120.0,6.56,4.04,2018,75.0,0
D.J. Moore,WR,Maryland,6-0,210.0,4.42,39.5,15.0,132.0,6.95,4.07,2018,72.0,0
Ryan Nall,RB,Oregon State,6-2,232.0,4.58,33.0,15.0,122.0,6.95,4.16,2018,74.0,0
Siran Neal,S,Jacksonville State,6-0,199.0,4.56,40.5,17.0,122.0,7.0,4.28,2018,72.0,0
Byron Pringle,WR,Kansas State,6-1,203.0,4.46,33.5,15.0,120.0,6.87,4.4,2018,73.0,0
Trey Quinn,WR,SMU,5-11,203.0,4.55,33.5,17.0,116.0,6.91,4.19,2018,71.0,0
Justin Reid,S,Stanford,6-1,204.0,4.4,36.5,16.0,128.0,6.65,4.15,2018,73.0,0
Calvin Ridley,WR,Alabama,6-0,189.0,4.43,31.0,15.0,110.0,6.88,4.41,2018,72.0,0
Jaylen Samuels,TE,North Carolina State,5-11,225.0,4.54,34.5,18.0,121.0,6.93,4.28,2018,71.0,0
Dalton Schultz,TE,Stanford,6-5,244.0,4.75,32.0,15.0,120.0,7.0,4.4,2018,77.0,1
Jaleel Scott,WR,New Mexico State,6-5,218.0,4.56,34.5,16.0,124.0,7.2,4.4,2018,77.0,1
Trequan Smith,WR,Central Florida,6-2,203.0,4.49,37.5,12.0,130.0,6.97,4.5,2018,74.0,0
Durham Smythe,TE,Notre Dame,6-5,253.0,4.81,31.0,18.0,110.0,7.17,4.23,2018,77.0,1
M.J. Stewart,CB,North Carolina,5-11,200.0,4.54,35.0,18.0,118.0,6.9,4.28,2018,71.0,0
Courtland Sutton,WR,SMU,6-3,218.0,4.54,35.5,18.0,124.0,6.57,4.11,2018,75.0,0
Jordan Thomas,CB,Oklahoma,6-0,186.0,4.64,38.0,4.0,124.0,6.28,3.94,2018,72.0,0
Jordan Thomas,TE,Mississippi State,6-5,265.0,4.74,27.0,16.0,111.0,7.5,4.75,2018,77.0,1
