Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Erick Streelman,TE,Nevada,6-5,248.0,5.06,30.0,9.0,109.0,7.59,4.4,2003,77.0,1
Donald Strickland,CB,Colorado,5-10,187.0,4.53,35.5,16.0,121.0,6.98,4.04,2003,70.0,0
Ray Thomas,TE,Wake Forest,6-4,248.0,5.01,31.0,17.0,113.0,7.47,4.53,2003,76.0,1
Charles Tillman,CB,Louisiana-Lafayette,6-1,207.0,4.49,40.0,12.0,131.0,7.05,3.89,2003,73.0,0
Marcus Trufant,CB,Washington State,5-11,199.0,4.38,39.0,11.0,127.0,6.87,4.32,2003,71.0,0
B.J. Tucker,CB,Wisconsin,5-10,188.0,4.34,35.0,16.0,123.0,7.25,4.2,2003,70.0,0
Aaron Walker,TE,Florida,6-6,252.0,4.72,33.5,24.0,115.0,7.57,4.3,2003,78.0,1
Shane Walton,CB,Notre Dame,5-11,184.0,4.67,31.0,11.0,109.0,7.05,4.29,2003,71.0,0
Kevin Ware,TE,Washington,6-3,256.0,4.79,34.0,22.0,110.0,7.52,4.47,2003,75.0,1
Derek Watson,RB,South Carolina,6-0,223.0,4.63,34.0,15.0,114.0,7.35,4.2,2003,72.0,1
Dennis Weathersby,CB,Oregon State,6-1,204.0,4.38,38.0,9.0,125.0,7.14,4.13,2003,73.0,0
Domanick Williams,RB,LSU,5-9,213.0,4.63,32.5,22.0,112.0,7.32,4.47,2003,69.0,1
Eugene Wilson,CB,Illinois,5-10,192.0,4.48,38.0,15.0,122.0,7.18,4.05,2003,70.0,0
Andre Woolfolk,CB,Oklahoma,6-1,197.0,4.47,35.5,10.0,128.0,6.78,3.96,2003,73.0,0
Thomas Wright,S,Michigan State,6-1,201.0,4.76,36.0,13.0,114.0,7.42,4.41,2003,73.0,1
Marcell Allmond,CB,USC,6-0,209.0,4.59,38.0,21.0,123.0,7.37,4.34,2004,72.0,0
Courtney Anderson,TE,San Jose State,6-6,269.0,4.89,30.0,17.0,106.0,7.86,4.45,2004,78.0,1
Rashad Baker,S,Tennessee,5-10,204.0,4.5,36.0,21.0,117.0,7.19,4.12,2004,70.0,0
Rufus Brown,CB,Florida State,5-9,187.0,4.43,33.0,15.0,124.0,7.24,4.44,2004,69.0,0
Tony Bua,S,Arkansas,5-11,209.0,4.67,36.0,15.0,120.0,6.75,4.08,2004,71.0,0
Erik Coleman,S,Washington State,5-10,200.0,4.64,35.5,16.0,117.0,7.03,4.14,2004,70.0,0
Chris Cooley,TE,Utah State,6-3,265.0,4.87,33.0,22.0,115.0,7.21,4.19,2004,75.0,1
Josh Davis,RB,Nebraska,5-10,200.0,4.54,33.5,13.0,112.0,7.27,4.07,2004,70.0,0
Curtis DeLoatch,CB,North Carolina A&T,6-2,214.0,4.5,35.5,10.0,120.0,6.97,4.42,2004,74.0,0
Vontez Duff,CB,Notre Dame,5-11,203.0,4.53,35.0,13.0,120.0,6.94,4.03,2004,71.0,0
Jeff Dugan,TE,Maryland,6-4,263.0,5.0,28.0,21.0,109.0,7.4,4.32,2004,76.0,1
Deandre' Eiland,S,South Carolina,5-11,202.0,4.53,35.0,17.0,113.0,7.19,4.27,2004,71.0,0
